substage,run_id,recipe,split,step,n_pairs,phase_train_n_pairs,accuracy,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7800,2,"1,2,4",0.98046875,0.0619003027677536,0.125,2.0794415416798357,0.8661902158579481,0.001,298.9071810245514,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,7900,2,"1,2,4",1.0,0.000706495891790837,0.125,2.0794415416798357,0.017792996897440787,0.001,302.13719367980957,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8000,2,"1,2,4",1.0,0.0004606459988281131,0.125,2.0794415416798357,0.005858849950712457,0.001,305.5722875595093,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,8000,1,"1,2,4",1.0,3.587633369761534e-05,0.125,2.0794415416798357,,0.001,313.07958221435547,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,8000,2,"1,2,4",0.998291015625,0.009142624090600293,0.125,2.0794415416798357,,0.001,313.07958698272705,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,8000,4,"1,2,4",0.373291015625,1.1894238628447056,0.125,2.0794415416798357,,0.001,313.07959055900574,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,8000,8,"1,2,4",0.2362060546875,2.3144431337714195,0.125,2.0794415416798357,,0.001,313.07959246635437,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8100,1,"1,2,4",1.0,3.651728911790997e-05,0.125,2.0794415416798357,0.00035841201553182844,0.001,316.1637930870056,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8200,4,"1,2,4",0.35546875,1.1814464330673218,0.125,2.0794415416798357,1.1325314252185157,0.001,319.36266684532166,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8300,2,"1,2,4",1.0,0.0031736730597913265,0.125,2.0794415416798357,0.06114483991440095,0.001,322.64089608192444,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8400,4,"1,2,4",0.375,1.18445885181427,0.125,2.0794415416798357,0.897450192847104,0.001,325.79829263687134,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8500,1,"1,2,4",1.0,3.8869875425007194e-05,0.125,2.0794415416798357,0.00044515132995760754,0.001,328.9809687137604,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8600,4,"1,2,4",0.40234375,1.1873828172683716,0.125,2.0794415416798357,0.9495871702851043,0.001,332.1677358150482,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8700,1,"1,2,4",1.0,3.380016642040573e-05,0.125,2.0794415416798357,0.00025797856781890584,0.001,335.36660623550415,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8800,4,"1,2,4",0.36328125,1.1602510213851929,0.125,2.0794415416798357,0.9395198587534025,0.001,338.8053472042084,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,8900,2,"1,2,4",1.0,0.00028771848883479834,0.125,2.0794415416798357,0.0027146088524966578,0.001,342.0486869812012,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,9000,2,"1,2,4",1.0,0.0013899201294407248,0.125,2.0794415416798357,0.0217447523013409,0.001,345.2438941001892,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,9000,1,"1,2,4",1.0,8.476971811433032e-05,0.125,2.0794415416798357,,0.001,353.0448250770569,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,9000,2,"1,2,4",0.9996337890625,0.0025797804082685616,0.125,2.0794415416798357,,0.001,353.04484272003174,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,9000,4,"1,2,4",0.3614501953125,1.2885164804756641,0.125,2.0794415416798357,,0.001,353.0448455810547,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,9000,8,"1,2,4",0.2283935546875,2.570396587252617,0.125,2.0794415416798357,,0.001,353.04484844207764,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,9100,1,"1,2,4",1.0,9.22643521334976e-05,0.125,2.0794415416798357,0.001303646733871789,0.001,356.430748462677,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,9200,4,"1,2,4",0.3671875,1.2768993377685547,0.125,2.0794415416798357,1.807561720618279,0.001,359.7014842033386,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,9300,1,"1,2,4",1.0,9.507943468634039e-05,0.125,2.0794415416798357,0.0013396685563247003,0.001,362.97615575790405,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,9400,2,"1,2,4",1.0,0.000464125769212842,0.125,2.0794415416798357,0.010442777973723547,0.001,366.1922516822815,ok
