substage,run_id,recipe,split,eval_mode,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,3900,2,capped,8,"1,2",0.7760416865348816,0.5520833333333334,0.3150281012058258,0.125,2.0794415416798357,0.34506798693727175,0.001,138.92027068138123,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4000,2,capped,8,"1,2",0.828125,0.65625,0.3068118691444397,0.125,2.0794415416798357,0.3242450015665679,0.001,141.56797695159912,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,4000,1,capped,8,"1,2",1.0,1.0,3.078887462493185e-05,0.125,2.0794415416798357,,0.001,153.59080743789673,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,4000,2,capped,8,"1,2",0.7767944554798305,0.5537109375,0.3124705869704485,0.125,2.0794415416798357,,0.001,153.5908124446869,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,4000,4,capped,8,"1,2",0.3078003036789596,0.001953125,2.976287070661783,0.125,2.0794415416798357,,0.001,153.59081530570984,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,4000,8,capped,8,"1,2",0.20288086554501206,0.0,2.8144493475556374,0.125,2.0794415416798357,,0.001,153.59081888198853,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,4000,1,single,1,"1,2",1.0,1.0,3.0808285899297516e-05,0.125,2.0794415416798357,,0.001,153.5908236503601,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,4000,2,single,1,"1,2",0.5620117397047579,0.56201171875,0.6197009459137917,0.125,2.0794415416798357,,0.001,153.59082698822021,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,4000,4,single,1,"1,2",0.3131103595951572,0.3131103515625,2.765915334224701,0.125,2.0794415416798357,,0.001,153.59083008766174,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,4000,8,single,1,"1,2",0.19738770078402013,0.1973876953125,2.811093185096979,0.125,2.0794415416798357,,0.001,153.59083223342896,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4100,1,capped,8,"1,2",1.0,1.0,3.6326378904050216e-05,0.125,2.0794415416798357,0.00024306686648320968,0.001,156.43994164466858,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4200,2,capped,8,"1,2",0.7734375,0.546875,0.31078824400901794,0.125,2.0794415416798357,0.4376815427132199,0.001,159.14717626571655,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4300,2,capped,8,"1,2",0.7552083730697632,0.5260416666666666,0.3616062104701996,0.125,2.0794415416798357,0.46279661433944075,0.001,161.84425497055054,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4400,1,capped,8,"1,2",1.0,1.0,2.9776396331726573e-05,0.125,2.0794415416798357,0.0001875099065274416,0.001,164.52815532684326,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4500,2,capped,8,"1,2",0.7734375,0.546875,0.32291898131370544,0.125,2.0794415416798357,0.5287025288967081,0.001,167.12635350227356,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4600,2,capped,8,"1,2",0.7734375,0.5520833333333334,0.3082766532897949,0.125,2.0794415416798357,0.9401823281829161,0.001,169.79774975776672,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4700,1,capped,8,"1,2",1.0,1.0,2.1630630726576783e-05,0.125,2.0794415416798357,0.00013964337448235258,0.001,172.53779888153076,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4800,1,capped,8,"1,2",1.0,1.0,1.7424872567062266e-05,0.125,2.0794415416798357,0.00011306310119603109,0.001,175.28786206245422,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,4900,2,capped,8,"1,2",0.8046875,0.609375,0.3036973774433136,0.125,2.0794415416798357,0.4328786071810942,0.001,178.03769326210022,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,5000,2,capped,8,"1,2",0.7682291865348816,0.5364583333333334,0.3202580213546753,0.125,2.0794415416798357,0.40542546138486407,0.001,180.7794268131256,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,5000,1,capped,8,"1,2",1.0,1.0,2.0730278379232914e-05,0.125,2.0794415416798357,,0.001,192.8467357158661,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,5000,2,capped,8,"1,2",0.7792358603328466,0.5584716796875,0.3114692969247699,0.125,2.0794415416798357,,0.001,192.84674215316772,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,5000,4,capped,8,"1,2",0.32684327219612896,0.002685546875,3.260260220617056,0.125,2.0794415416798357,,0.001,192.84674525260925,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,5000,8,capped,8,"1,2",0.20452881325036287,0.0,3.1306516863405704,0.125,2.0794415416798357,,0.001,192.84674787521362,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,5000,1,single,1,"1,2",1.0,1.0,2.0693360681889317e-05,0.125,2.0794415416798357,,0.001,192.84675216674805,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,5000,2,single,1,"1,2",0.5662841964513063,0.5662841796875,0.6198102086782455,0.125,2.0794415416798357,,0.001,192.84675550460815,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,5000,4,single,1,"1,2",0.3115234466968104,0.3115234375,2.878432221710682,0.125,2.0794415416798357,,0.001,192.84675812721252,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,5000,8,single,1,"1,2",0.19616699626203626,0.1961669921875,3.089460654184222,0.125,2.0794415416798357,,0.001,192.84676051139832,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,5100,1,capped,8,"1,2,4",1.0,1.0,4.121867459616624e-05,0.125,2.0794415416798357,0.00026970218163157813,0.001,195.37918138504028,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,5200,1,capped,8,"1,2,4",1.0,1.0,1.911116487463005e-05,0.125,2.0794415416798357,0.0001212943670967692,0.001,198.18941283226013,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,5300,1,capped,8,"1,2,4",1.0,1.0,1.7198248315253295e-05,0.125,2.0794415416798357,0.0001725339396879519,0.001,201.03120136260986,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,5400,4,capped,8,"1,2,4",0.5611979365348816,0.07291666666666667,0.7892200946807861,0.125,2.0794415416798357,0.7620576242278718,0.001,203.827951669693,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,5500,1,capped,8,"1,2,4",1.0,1.0,1.9841301764245145e-05,0.125,2.0794415416798357,0.00012715812573630398,0.001,206.67699551582336,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,5600,2,capped,8,"1,2,4",0.828125,0.65625,0.30475640296936035,0.125,2.0794415416798357,0.3621530260325693,0.001,209.49297308921814,ok
